N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto
571184,2021-10-14,15478.0,United Kingdom,288,"826,83"
563580,2021-08-17,16706.0,United Kingdom,165,"291,53"
555008,2021-05-31,17061.0,United Kingdom,66,"382,70"
547829,2021-03-25,16081.0,United Kingdom,241,"410,53"
555162,2021-06-01,12473.0,Germany,557,"672,19"
576889,2021-11-16,12748.0,United Kingdom,149,"293,92"
544928,2021-02-24,00000,United Kingdom,332,"1336,10"
569225,2021-10-02,16930.0,United Kingdom,185,"195,31"
546092,2021-03-09,17138.0,United Kingdom,126,"380,50"
552710,2021-05-11,13098.0,United Kingdom,1015,"1974,06"
C569960,2021-10-06,18172.0,United Kingdom,-2,"-5,83"
580883,2021-12-06,16979.0,United Kingdom,58,"231,74"
547715,2021-03-25,12520.0,Germany,128,"246,54"
537455,2020-12-07,00000,United Kingdom,-70,"0,00"
576603,2021-11-15,14911.0,EIRE,195,"524,28"
581256,2021-12-08,00000,United Kingdom,1074,"4839,42"
578032,2021-11-22,16633.0,United Kingdom,261,"647,94"
539714,2020-12-21,00000,United Kingdom,3,"2,55"
560890,2021-07-21,00000,United Kingdom,1,"0,00"
566074,2021-09-09,12535.0,France,104,"344,90"
548016,2021-03-29,16871.0,United Kingdom,36,"35,04"
563616,2021-08-18,13027.0,United Kingdom,3840,"1536,00"
557611,2021-06-21,17695.0,United Kingdom,358,"353,60"
542124,2021-01-25,14248.0,United Kingdom,102,"302,58"
580631,2021-12-05,16682.0,United Kingdom,170,"110,86"
547020,2021-03-18,17017.0,United Kingdom,287,"368,36"
550160,2021-04-14,17930.0,United Kingdom,172,"390,60"
571475,2021-10-17,15033.0,United Kingdom,250,"344,38"
551874,2021-05-05,16422.0,United Kingdom,222,"385,14"
579555,2021-11-30,16241.0,United Kingdom,357,"609,40"
558477,2021-06-29,00000,United Kingdom,-1,"0,00"
556531,2021-06-13,15491.0,United Kingdom,321,"765,03"
543990,2021-02-15,15122.0,United Kingdom,236,"397,04"
554265,2021-05-23,00000,United Kingdom,15,"33,03"
541574,2021-01-19,12826.0,United Kingdom,266,"212,72"
C553150,2021-05-13,17841.0,United Kingdom,-4,"-5,88"
C557652,2021-06-21,16145.0,United Kingdom,-10,"-16,50"
560819,2021-07-21,00000,United Kingdom,2,"0,00"
568989,2021-09-29,14709.0,United Kingdom,160,"311,30"
579937,2021-12-01,13509.0,United Kingdom,135,"98,10"
572518,2021-10-24,16353.0,United Kingdom,48,"237,60"
563854,2021-08-19,12364.0,Belgium,555,"623,92"
543259,2021-02-04,00000,United Kingdom,-162,"0,00"
561199,2021-07-25,14970.0,United Kingdom,50,"337,50"
579184,2021-11-28,16746.0,United Kingdom,93,"301,20"
566874,2021-09-15,00000,United Kingdom,4,"5,90"
550756,2021-04-20,14148.0,United Kingdom,16,"157,20"
C553032,2021-05-12,13320.0,United Kingdom,-18,"-42,00"
546480,2021-03-14,13452.0,United Kingdom,1,"295,00"
553675,2021-05-18,13719.0,United Kingdom,108,"205,84"
562934,2021-08-10,00000,United Kingdom,355,"1763,75"
C542088,2021-01-25,12553.0,France,-12,"-19,80"
544059,2021-02-15,14534.0,United Kingdom,52,"120,16"
550513,2021-04-18,16928.0,United Kingdom,236,"379,56"
572723,2021-10-25,00000,United Kingdom,12,"0,00"
578719,2021-11-25,17348.0,United Kingdom,175,"177,61"
C580510,2021-12-04,14456.0,United Kingdom,-1,"-1,25"
551776,2021-05-04,13268.0,United Kingdom,226,"250,04"
574491,2021-11-04,16318.0,United Kingdom,199,"328,15"
566087,2021-09-09,13319.0,United Kingdom,224,"493,40"
C567520,2021-09-20,12989.0,United Kingdom,-1,"-2,10"
544644,2021-02-22,17002.0,United Kingdom,266,"513,06"
547877,2021-03-27,14573.0,United Kingdom,41,"165,83"
572318,2021-10-23,15436.0,United Kingdom,227,"370,27"
547971,2021-03-28,17917.0,United Kingdom,75,"119,55"
537179,2020-12-05,13767.0,United Kingdom,284,"806,28"
577531,2021-11-20,00000,United Kingdom,608,"4785,89"
564169,2021-08-23,14646.0,Netherlands,288,"424,80"
561195,2021-07-25,14796.0,United Kingdom,572,"564,03"
573875,2021-11-01,15018.0,United Kingdom,95,"204,87"
539840,2020-12-22,12383.0,Belgium,754,"600,72"
576637,2021-11-16,16079.0,United Kingdom,210,"313,62"
579262,2021-11-29,13599.0,United Kingdom,60,"93,84"
542151,2021-01-26,13491.0,United Kingdom,71,"187,85"
565783,2021-09-06,13122.0,United Kingdom,48,"18,72"
563534,2021-08-17,14323.0,United Kingdom,128,"305,24"
569537,2021-10-04,13269.0,United Kingdom,90,"97,70"
569741,2021-10-06,14626.0,United Kingdom,315,"610,91"
577138,2021-11-18,13079.0,United Kingdom,6,"17,70"
581324,2021-12-08,14217.0,United Kingdom,28,"94,48"
537674,2020-12-08,15628.0,United Kingdom,250,"319,18"
567507,2021-09-20,00000,United Kingdom,624,"4102,39"
569226,2021-10-02,16930.0,United Kingdom,4,"11,80"
C541818,2021-01-21,17389.0,United Kingdom,-1,"-3,75"
554059,2021-05-20,14388.0,United Kingdom,356,"458,94"
545725,2021-03-07,16621.0,United Kingdom,47,"162,85"
C541694,2021-01-20,17364.0,United Kingdom,-21,"-25,45"
545514,2021-03-03,15053.0,United Kingdom,257,"222,65"
C559136,2021-07-06,17511.0,United Kingdom,-13,"-17,49"
554866,2021-05-27,13488.0,United Kingdom,291,"493,27"
581494,2021-12-09,12518.0,Germany,188,"339,14"
C548015,2021-03-29,13802.0,United Kingdom,-30,"-50,70"
549166,2021-04-06,00000,United Kingdom,3,"0,00"
571824,2021-10-19,12472.0,Germany,923,"1376,43"
546394,2021-03-11,17164.0,United Kingdom,427,"627,13"
C577750,2021-11-21,12878.0,United Kingdom,-11,"-13,35"
549583,2021-04-11,15214.0,United Kingdom,402,"514,93"
568149,2021-09-25,14285.0,United Kingdom,293,"1247,53"
C569993,2021-10-06,17633.0,United Kingdom,-4,"-15,00"
563550,2021-08-17,14194.0,United Kingdom,214,"508,12"
548533,2021-03-31,13883.0,United Kingdom,457,"980,41"
551337,2021-04-27,16418.0,United Kingdom,87,"145,91"
558365,2021-06-28,13631.0,United Kingdom,40,"250,00"
567904,2021-09-22,12609.0,Germany,130,"326,12"
560241,2021-07-17,13967.0,United Kingdom,42,"80,70"
558195,2021-06-27,17735.0,United Kingdom,528,"701,88"
573494,2021-10-31,00000,United Kingdom,-24,"0,00"
538657,2020-12-13,15867.0,United Kingdom,63,"201,40"
C551670,2021-05-03,15898.0,United Kingdom,-2,"-4,20"
540172,2021-01-05,18109.0,United Kingdom,54,"138,98"
577543,2021-11-20,17636.0,United Kingdom,182,"285,56"
C554926,2021-05-27,16422.0,United Kingdom,-24,"-15,60"
567793,2021-09-22,12657.0,France,259,"618,44"
537692,2020-12-08,14796.0,United Kingdom,434,"671,21"
537789,2020-12-08,14051.0,United Kingdom,214,"623,42"
C570274,2021-10-10,13113.0,United Kingdom,-39,"-113,55"
548977,2021-04-05,00000,United Kingdom,13,"13,85"
542362,2021-01-27,00000,United Kingdom,-16,"0,00"
C561238,2021-07-26,17675.0,United Kingdom,-2,"-6,60"
C537651,2020-12-07,00000,United Kingdom,-1,"-13541,33"
571256,2021-10-14,00000,United Kingdom,1,"2,89"
576695,2021-11-16,16469.0,United Kingdom,106,"187,71"
551832,2021-05-04,15987.0,United Kingdom,24,"9,36"
538420,2020-12-12,12875.0,United Kingdom,1728,"293,76"
C562623,2021-08-08,16255.0,United Kingdom,-4,"-5,00"
554923,2021-05-27,14735.0,United Kingdom,22,"89,70"
572052,2021-10-20,14646.0,Netherlands,1728,"1244,16"
569668,2021-10-05,16040.0,United Kingdom,175,"437,37"
538067,2020-12-09,15288.0,United Kingdom,66,"165,65"
555548,2021-06-05,17811.0,United Kingdom,99,"147,05"
578081,2021-11-22,14051.0,United Kingdom,240,"958,20"
C536642,2020-12-02,14390.0,United Kingdom,-1,"-5,95"
578054,2021-11-22,14911.0,EIRE,239,"616,00"
543590,2021-02-10,17377.0,United Kingdom,144,"216,58"
C580522,2021-12-04,13435.0,United Kingdom,-1,"-4,15"
537813,2020-12-08,18259.0,United Kingdom,116,"376,30"
568592,2021-09-28,17469.0,United Kingdom,172,"441,80"
557777,2021-06-22,00000,United Kingdom,-5,"0,00"
570235,2021-10-09,13193.0,United Kingdom,50,"117,88"
545416,2021-03-02,17770.0,United Kingdom,231,"603,17"
550953,2021-04-21,00000,United Kingdom,398,"1953,26"
C575638,2021-11-10,12473.0,Germany,-1,"-40,46"
578914,2021-11-27,13782.0,United Kingdom,96,"170,06"
547671,2021-03-24,14560.0,United Kingdom,41,"62,38"
C562848,2021-08-10,15201.0,United Kingdom,-4,"-19,80"
C557650,2021-06-21,15152.0,United Kingdom,-3,"-38,40"
565147,2021-09-01,16187.0,United Kingdom,300,"459,92"
546737,2021-03-16,13358.0,United Kingdom,285,"439,03"
539181,2020-12-16,12748.0,United Kingdom,84,"135,44"
574514,2021-11-04,15311.0,United Kingdom,518,"627,00"
561926,2021-08-01,12749.0,United Kingdom,812,"1866,43"
544328,2021-02-17,14371.0,United Kingdom,34,"100,50"
565287,2021-09-02,12483.0,Sweden,163,"309,45"
580608,2021-12-05,16811.0,United Kingdom,84,"232,30"
539452,2020-12-17,15856.0,United Kingdom,266,"741,22"
C546887,2021-03-17,14329.0,United Kingdom,-4,"-6,75"
C540392,2021-01-06,12753.0,Japan,-45,"-109,80"
572306,2021-10-23,17841.0,United Kingdom,321,"511,05"
574466,2021-11-04,18172.0,United Kingdom,154,"335,72"
554441,2021-05-24,13213.0,United Kingdom,182,"320,48"
545135,2021-02-28,00000,United Kingdom,-30,"0,00"
574303,2021-11-03,13324.0,United Kingdom,560,"684,12"
546522,2021-03-14,13319.0,United Kingdom,175,"373,84"
543472,2021-02-08,00000,United Kingdom,1,"0,00"
553144,2021-05-13,17669.0,United Kingdom,338,"619,50"
580909,2021-12-06,18225.0,United Kingdom,160,"330,28"
574590,2021-11-06,18077.0,United Kingdom,166,"335,86"
571898,2021-10-19,13247.0,United Kingdom,78,"85,80"
572613,2021-10-25,15345.0,United Kingdom,81,"393,54"
543390,2021-02-08,00000,United Kingdom,-5,"0,00"
C562425,2021-08-04,12584.0,Italy,-1,"-4,95"
575959,2021-11-13,14547.0,United Kingdom,700,"1117,08"
558310,2021-06-28,16671.0,United Kingdom,656,"1382,88"
578293,2021-11-23,15640.0,United Kingdom,364,"886,86"
549157,2021-04-06,00000,United Kingdom,-9,"0,00"
575175,2021-11-08,00000,United Kingdom,84,"0,00"
561969,2021-08-01,17757.0,United Kingdom,153,"206,69"
556805,2021-06-14,15125.0,United Kingdom,124,"213,80"
574864,2021-11-07,14387.0,United Kingdom,388,"840,82"
549206,2021-04-07,15281.0,United Kingdom,32,"104,40"
550818,2021-04-20,15912.0,United Kingdom,66,"141,49"
576050,2021-11-13,15022.0,United Kingdom,1,"39,95"
549047,2021-04-06,17783.0,United Kingdom,53,"112,41"
578433,2021-11-24,17671.0,United Kingdom,248,"474,16"
545034,2021-02-25,13493.0,Switzerland,66,"179,35"
559319,2021-07-07,18013.0,United Kingdom,24,"10,08"
557885,2021-06-23,12465.0,Belgium,294,"440,94"
560635,2021-07-20,12521.0,Germany,309,"599,68"
551967,2021-05-05,16457.0,United Kingdom,140,"208,36"
C562957,2021-08-11,13319.0,United Kingdom,-2,"-7,17"
537111,2020-12-05,14810.0,United Kingdom,84,"180,44"
580119,2021-12-01,17920.0,United Kingdom,66,"187,78"
572748,2021-10-25,00000,United Kingdom,-103,"0,00"
538872,2020-12-14,13097.0,United Kingdom,90,"304,90"
554646,2021-05-25,17790.0,United Kingdom,40,"124,25"
578823,2021-11-25,00000,United Kingdom,6,"75,00"
579619,2021-11-30,18241.0,United Kingdom,70,"117,54"
571474,2021-10-17,16389.0,United Kingdom,773,"303,36"
539434,2020-12-17,00000,United Kingdom,1043,"4700,40"
574294,2021-11-03,16333.0,United Kingdom,3840,"5727,00"
546486,2021-03-14,15039.0,United Kingdom,172,"377,88"
539460,2020-12-17,12931.0,United Kingdom,20,"33,00"
556023,2021-06-08,14527.0,United Kingdom,49,"209,28"
569224,2021-10-02,15701.0,United Kingdom,151,"255,13"
544684,2021-02-22,00000,United Kingdom,570,"1799,96"
551542,2021-05-03,14732.0,United Kingdom,156,"306,50"
550898,2021-04-21,00000,United Kingdom,5,"13,75"
576894,2021-11-17,12681.0,France,110,"291,86"
C551335,2021-04-27,14198.0,United Kingdom,-2,"-9,90"
558116,2021-06-27,00000,United Kingdom,148,"869,72"
565216,2021-09-01,12971.0,United Kingdom,28,"114,60"
C573244,2021-10-28,14623.0,United Kingdom,-2,"-19,90"
579939,2021-12-01,15101.0,United Kingdom,207,"215,25"
576302,2021-11-14,00000,United Kingdom,46,"0,00"
C543640,2021-02-10,12967.0,United Kingdom,-1,"-29,95"
567666,2021-09-21,12520.0,Germany,340,"588,41"
C545033,2021-02-25,14156.0,EIRE,-672,"-2548,80"
542223,2021-01-26,14233.0,United Kingdom,47,"100,85"
551321,2021-04-27,00000,United Kingdom,36,"0,00"
575043,2021-11-08,13047.0,United Kingdom,1,"4,95"
545524,2021-03-03,17374.0,United Kingdom,29,"191,95"
540513,2021-01-09,13758.0,United Kingdom,152,"422,40"
559689,2021-07-11,00000,United Kingdom,48,"66,75"
549720,2021-04-11,14606.0,United Kingdom,56,"142,84"
576186,2021-11-14,14735.0,United Kingdom,66,"276,30"
554375,2021-05-24,18044.0,United Kingdom,163,"245,92"
550324,2021-04-17,12997.0,United Kingdom,185,"302,92"
547076,2021-03-20,15140.0,United Kingdom,283,"446,15"
C577397,2021-11-18,12504.0,Germany,-3,"-32,65"
545303,2021-03-01,15319.0,United Kingdom,175,"204,50"
546388,2021-03-11,00000,United Kingdom,75,"203,50"
569728,2021-10-06,15416.0,United Kingdom,392,"839,99"
C569115,2021-09-30,13426.0,United Kingdom,-1,"-7,62"
561192,2021-07-25,16033.0,United Kingdom,163,"441,14"
565765,2021-09-06,12526.0,Germany,318,"520,30"
546109,2021-03-09,00000,United Kingdom,2,"33,90"
536392,2020-12-01,13705.0,United Kingdom,103,"318,14"
545797,2021-03-07,16225.0,United Kingdom,176,"326,91"
553170,2021-05-13,14676.0,United Kingdom,396,"223,44"
571229,2021-10-14,15453.0,United Kingdom,146,"189,86"
560940,2021-07-22,00000,United Kingdom,-53,"0,00"
575734,2021-11-11,12384.0,Switzerland,64,"292,58"
574228,2021-11-03,16678.0,United Kingdom,250,"301,20"
581019,2021-12-07,14794.0,United Kingdom,158,"204,86"
577128,2021-11-17,14508.0,United Kingdom,61,"138,86"
580321,2021-12-02,15078.0,United Kingdom,24,"50,40"
577144,2021-11-18,00000,United Kingdom,96,"0,00"
548952,2021-04-05,15572.0,United Kingdom,207,"430,13"
540247,2021-01-05,15464.0,United Kingdom,350,"1048,85"
562278,2021-08-04,00000,United Kingdom,-342,"0,00"
562427,2021-08-04,17267.0,United Kingdom,155,"311,02"
546728,2021-03-16,13983.0,United Kingdom,2,"290,00"
C560372,2021-07-18,17448.0,United Kingdom,-1,"-4287,63"
568230,2021-09-26,12925.0,United Kingdom,258,"368,31"
551618,2021-05-03,16013.0,United Kingdom,158,"626,10"
572080,2021-10-20,16592.0,United Kingdom,12,"25,20"
C568534,2021-09-27,12579.0,France,-6,"-11,70"
572759,2021-10-25,00000,United Kingdom,-2,"0,00"
553161,2021-05-13,12681.0,France,268,"415,28"
571677,2021-10-18,13637.0,United Kingdom,55,"125,65"
568875,2021-09-29,14527.0,United Kingdom,35,"160,70"
549055,2021-04-06,13515.0,United Kingdom,180,"203,40"
559300,2021-07-07,12471.0,Germany,148,"208,62"
577477,2021-11-20,14157.0,United Kingdom,85,"155,71"
559985,2021-07-14,16488.0,United Kingdom,170,"219,06"
C545003,2021-02-25,18231.0,United Kingdom,-13,"-17,10"
C575665,2021-11-10,17442.0,United Kingdom,-1,"-4,95"
C561725,2021-07-29,17841.0,United Kingdom,-5,"-6,15"
547727,2021-03-25,16029.0,United Kingdom,552,"878,16"
574349,2021-11-04,13495.0,United Kingdom,268,"659,80"
C551947,2021-05-05,15147.0,United Kingdom,-3,"-14,85"
546918,2021-03-18,15854.0,United Kingdom,52,"309,40"
571013,2021-10-13,00000,United Kingdom,-104,"0,00"
543099,2021-02-03,16684.0,United Kingdom,5880,"6549,12"
C563608,2021-08-18,17719.0,United Kingdom,-3,"-10,08"
573945,2021-11-02,17663.0,United Kingdom,103,"211,47"
578479,2021-11-24,15858.0,United Kingdom,95,"191,01"
C576227,2021-11-14,14910.0,United Kingdom,-7,"-10,45"
581139,2021-12-07,13798.0,United Kingdom,516,"822,68"
543650,2021-02-11,12980.0,United Kingdom,56,"790,80"
559042,2021-07-05,00000,United Kingdom,37,"281,74"
576907,2021-11-17,12610.0,Italy,169,"248,20"
550106,2021-04-14,13772.0,United Kingdom,86,"228,42"
573920,2021-11-01,00000,United Kingdom,14,"0,00"
556454,2021-06-10,12947.0,United Kingdom,48,"40,80"
581428,2021-12-08,13404.0,United Kingdom,12,"34,68"
572130,2021-10-21,13460.0,United Kingdom,197,"107,46"
567531,2021-09-21,14397.0,United Kingdom,32,"53,12"
554822,2021-05-26,12937.0,United Kingdom,76,"210,80"
569222,2021-10-02,15906.0,United Kingdom,217,"590,49"
537636,2020-12-07,16950.0,United Kingdom,32,"172,00"
555382,2021-06-02,17133.0,United Kingdom,728,"1437,12"
553171,2021-05-13,00000,United Kingdom,12,"4,68"
562380,2021-08-04,14778.0,United Kingdom,165,"396,81"
556889,2021-06-15,16644.0,United Kingdom,75,"111,37"
575329,2021-11-09,17038.0,United Kingdom,28,"112,40"
C566613,2021-09-13,16029.0,United Kingdom,-1,"-15,00"
539494,2020-12-20,00000,United Kingdom,752,"0,00"
569214,2021-10-02,14533.0,United Kingdom,1976,"326,80"
580746,2021-12-06,12584.0,Italy,45,"200,45"
550359,2021-04-18,17841.0,United Kingdom,162,"366,48"
C572489,2021-10-24,17119.0,United Kingdom,-7,"-13,30"
576673,2021-11-16,00000,United Kingdom,4,"0,00"
545306,2021-03-01,17027.0,United Kingdom,6,"13,20"
570846,2021-10-12,13983.0,United Kingdom,13,"12,97"
C536814,2020-12-02,13958.0,United Kingdom,-23,"-102,45"
578038,2021-11-22,14251.0,United Kingdom,186,"346,14"
550515,2021-04-18,14502.0,United Kingdom,128,"217,07"
C567953,2021-09-23,18198.0,United Kingdom,-144,"-237,60"
574023,2021-11-02,14390.0,United Kingdom,239,"564,41"
570444,2021-10-10,17284.0,United Kingdom,124,"158,44"
541091,2021-01-13,16814.0,United Kingdom,159,"342,15"
568569,2021-09-28,17857.0,United Kingdom,300,"585,00"
575584,2021-11-10,12682.0,France,101,"245,40"
564645,2021-08-26,00000,United Kingdom,44,"0,00"
561473,2021-07-27,15078.0,United Kingdom,264,"544,20"
559126,2021-07-06,17341.0,United Kingdom,10,"14,50"
545059,2021-02-27,14157.0,United Kingdom,199,"277,17"
549239,2021-04-07,13102.0,United Kingdom,174,"245,46"
546866,2021-03-17,14462.0,United Kingdom,115,"232,39"
580880,2021-12-06,14121.0,United Kingdom,694,"771,16"
539991,2020-12-23,00000,United Kingdom,18,"78,70"
551820,2021-05-04,12645.0,Germany,240,"429,60"
551134,2021-04-26,16729.0,United Kingdom,459,"604,73"
567898,2021-09-22,13394.0,United Kingdom,280,"302,74"
580534,2021-12-04,12724.0,France,75,"208,24"
573876,2021-11-01,16360.0,United Kingdom,393,"530,37"
567124,2021-09-16,15240.0,United Kingdom,234,"337,17"
560501,2021-07-19,16475.0,United Kingdom,92,"91,40"
551531,2021-05-01,15376.0,United Kingdom,375,"654,17"
548315,2021-03-30,16019.0,United Kingdom,60,"303,32"
540355,2021-01-06,00000,United Kingdom,691,"3401,94"
543124,2021-02-03,15311.0,United Kingdom,369,"610,16"
579264,2021-11-29,13599.0,United Kingdom,70,"44,20"
580666,2021-12-05,15856.0,United Kingdom,32,"81,60"
C553528,2021-05-17,00000,United Kingdom,-1,"-82,73"
C578124,2021-11-23,14049.0,United Kingdom,-13,"-30,55"
568545,2021-09-27,00000,United Kingdom,-70,"0,00"
544077,2021-02-15,14825.0,United Kingdom,175,"241,34"
576668,2021-11-16,18246.0,United Kingdom,96,"363,20"
547340,2021-03-22,14875.0,United Kingdom,100,"362,00"
557605,2021-06-21,14911.0,EIRE,49,"147,40"
C579090,2021-11-28,12427.0,Germany,-288,"-60,48"
576600,2021-11-15,18181.0,United Kingdom,146,"382,80"
580745,2021-12-06,13694.0,United Kingdom,100,"145,00"
573383,2021-10-30,17447.0,United Kingdom,93,"169,05"
571641,2021-10-18,17135.0,United Kingdom,369,"205,06"
558199,2021-06-27,17110.0,United Kingdom,50,"163,30"
C546943,2021-03-18,00000,United Kingdom,-1,"-56,93"
C567947,2021-09-23,17663.0,United Kingdom,-3,"-6,69"
549566,2021-04-10,13610.0,United Kingdom,49,"110,55"
C555598,2021-06-06,15095.0,United Kingdom,-2,"-5,90"
569694,2021-10-05,17735.0,United Kingdom,263,"562,47"
C544428,2021-02-18,16306.0,United Kingdom,-2,"-5,10"
C540347,2021-01-06,16424.0,United Kingdom,-6,"-51,00"
558715,2021-07-01,00000,United Kingdom,1,"116,69"
570799,2021-10-12,16203.0,United Kingdom,104,"214,60"
547689,2021-03-24,17757.0,United Kingdom,55,"166,75"
560716,2021-07-20,17675.0,United Kingdom,600,"1532,76"
C562801,2021-08-09,15194.0,United Kingdom,-1,"-3,95"
557417,2021-06-20,00000,United Kingdom,-324,"0,00"
575943,2021-11-13,17920.0,United Kingdom,131,"255,54"
541972,2021-01-24,12935.0,United Kingdom,325,"431,63"
541847,2021-01-23,15443.0,United Kingdom,182,"437,71"
556094,2021-06-08,00000,United Kingdom,48,"359,05"
558430,2021-06-29,13238.0,United Kingdom,104,"227,70"
C561230,2021-07-26,14329.0,United Kingdom,-1,"-1,65"
C542150,2021-01-26,14049.0,United Kingdom,-11,"-12,02"
567524,2021-09-21,15696.0,United Kingdom,77,"378,95"
562838,2021-08-09,13162.0,United Kingdom,317,"382,85"
540415,2021-01-07,16889.0,United Kingdom,365,"523,05"
557783,2021-06-22,12748.0,United Kingdom,4,"4,94"
561610,2021-07-28,16076.0,United Kingdom,309,"325,47"
556019,2021-06-08,18092.0,United Kingdom,64,"221,40"
C536815,2020-12-02,14443.0,United Kingdom,-2,"-1,67"
C580710,2021-12-05,14198.0,United Kingdom,-4,"-8,20"
565052,2021-08-31,00000,United Kingdom,-60,"0,00"
541109,2021-01-13,15107.0,United Kingdom,2,"14,95"
539414,2020-12-17,16931.0,United Kingdom,100,"212,61"
549915,2021-04-13,18231.0,United Kingdom,253,"429,25"
546988,2021-03-18,14194.0,United Kingdom,118,"282,12"
560717,2021-07-20,00000,United Kingdom,-3,"0,00"
578084,2021-11-22,12465.0,Belgium,185,"301,25"
548865,2021-04-04,14747.0,United Kingdom,84,"328,20"
562287,2021-08-04,12455.0,Spain,33,"78,56"
571185,2021-10-14,13047.0,United Kingdom,226,"550,58"
544677,2021-02-22,18196.0,United Kingdom,241,"450,78"
537077,2020-12-05,17062.0,United Kingdom,163,"179,64"
548559,2021-04-01,16214.0,United Kingdom,34,"206,70"
569854,2021-10-06,00000,United Kingdom,-430,"0,00"
C570012,2021-10-07,15344.0,United Kingdom,-8,"-57,46"
542134,2021-01-25,15189.0,United Kingdom,40,"300,00"
549136,2021-04-06,00000,United Kingdom,-3,"0,00"
542617,2021-01-30,17463.0,United Kingdom,417,"709,51"
549852,2021-04-12,14289.0,United Kingdom,40,"147,30"
550329,2021-04-17,13951.0,United Kingdom,175,"303,49"
574938,2021-11-07,14911.0,EIRE,78,"206,90"
C579785,2021-11-30,12584.0,Italy,-12,"-108,25"
569398,2021-10-04,17381.0,United Kingdom,408,"359,04"
543994,2021-02-15,12931.0,United Kingdom,1280,"1696,40"
569474,2021-10-04,14178.0,United Kingdom,218,"198,74"
579790,2021-11-30,12784.0,Portugal,2,"56,00"
551401,2021-04-28,17874.0,United Kingdom,4,"6,00"
537199,2020-12-05,15894.0,United Kingdom,115,"156,74"
551552,2021-05-03,12598.0,France,2,"36,00"
561020,2021-07-22,13563.0,United Kingdom,146,"310,88"
542511,2021-01-28,15527.0,United Kingdom,117,"358,90"
C567708,2021-09-22,15201.0,United Kingdom,-214,"-257,79"
543459,2021-02-08,12599.0,France,216,"201,86"
572868,2021-10-26,17564.0,United Kingdom,43,"124,34"
573992,2021-11-02,15275.0,United Kingdom,498,"615,14"
552252,2021-05-08,15227.0,United Kingdom,208,"251,75"
574529,2021-11-04,17233.0,United Kingdom,131,"190,88"
541236,2021-01-14,17961.0,United Kingdom,1,"3,35"
575607,2021-11-10,14096.0,United Kingdom,1014,"4358,00"
561087,2021-07-25,15144.0,United Kingdom,214,"261,42"
569876,2021-10-06,00000,United Kingdom,-28,"0,00"
C567704,2021-09-22,17716.0,United Kingdom,-68,"-150,20"
C572478,2021-10-24,13098.0,United Kingdom,-2,"-5,64"
573884,2021-11-01,00000,United Kingdom,20,"0,00"
C577346,2021-11-18,00000,United Kingdom,-1,"-530,25"
565399,2021-09-02,12748.0,United Kingdom,8,"3,12"
543196,2021-02-04,13309.0,United Kingdom,467,"390,71"
568708,2021-09-28,12393.0,Australia,294,"521,50"
543310,2021-02-07,00000,United Kingdom,-234,"0,00"
581132,2021-12-07,17590.0,United Kingdom,144,"320,93"
567908,2021-09-22,18172.0,United Kingdom,36,"75,60"
C567535,2021-09-21,15253.0,United Kingdom,-2,"-2,90"
575636,2021-11-10,12473.0,Germany,1,"40,46"
566580,2021-09-13,12822.0,United Kingdom,424,"690,90"
557860,2021-06-23,17630.0,United Kingdom,46,"168,10"
C541502,2021-01-18,18190.0,United Kingdom,-1,"-9,95"
543777,2021-02-11,15406.0,United Kingdom,3,"9,25"
C558254,2021-06-27,16670.0,United Kingdom,-2,"-15,90"
569025,2021-09-30,18041.0,United Kingdom,108,"356,75"
577046,2021-11-17,12449.0,Belgium,524,"1342,71"
557256,2021-06-19,17282.0,United Kingdom,344,"274,56"
546374,2021-03-11,17194.0,United Kingdom,1,"10,00"
558382,2021-06-28,17997.0,United Kingdom,261,"322,53"
C545455,2021-03-02,16473.0,United Kingdom,-1,"-1,25"
577440,2021-11-20,14477.0,United Kingdom,180,"345,40"
569333,2021-10-03,13431.0,United Kingdom,116,"415,42"
563364,2021-08-16,14466.0,United Kingdom,139,"234,75"
549950,2021-04-13,00000,United Kingdom,-6,"0,00"
573387,2021-10-30,15054.0,United Kingdom,111,"168,42"
545711,2021-03-07,16136.0,United Kingdom,66,"159,30"
573367,2021-10-30,16145.0,United Kingdom,353,"490,17"
C570647,2021-10-11,15125.0,United Kingdom,-100,"-179,00"
C546932,2021-03-18,16297.0,United Kingdom,-1,"-2,95"
546963,2021-03-18,16779.0,United Kingdom,203,"302,60"
545637,2021-03-04,15514.0,United Kingdom,261,"292,03"
569514,2021-10-04,15228.0,United Kingdom,750,"1162,68"
566962,2021-09-15,16764.0,United Kingdom,44,"110,93"
551165,2021-04-26,17262.0,United Kingdom,96,"81,60"
C548374,2021-03-30,13047.0,United Kingdom,-5,"-15,05"
537055,2020-12-05,16814.0,United Kingdom,107,"273,29"
557847,2021-06-23,00000,United Kingdom,11,"0,00"
555732,2021-06-07,14542.0,United Kingdom,19,"103,25"
C544840,2021-02-24,16719.0,United Kingdom,-2,"-16,50"
544155,2021-02-16,12823.0,United Kingdom,40,"306,00"
562422,2021-08-04,13218.0,United Kingdom,88,"62,64"
572072,2021-10-20,00000,United Kingdom,1,"1,36"
543030,2021-02-02,12437.0,France,207,"150,50"
552461,2021-05-09,17723.0,United Kingdom,84,"331,80"
570672,2021-10-11,12536.0,France,2801,"4279,71"
